RE,constraint,gen_bus,carrier_names,pExp_sum
45%,SD Weighted Equal,11,OCGT,0.224
45%,Region Islanding 100%,15,OCGT,5.6
45%,Region Islanding 100%,33,OCGT,0.448
45%,Region Islanding 100%,33,offwind,0.646
45%,Region Islanding 100%,4,solar,4.312
45%,Region Islanding 100%,21,offwind,1.003
45%,Region Islanding 100%,26,offwind,0.493
45%,Region Islanding 100%,24,solar,1.484
45%,Region Islanding 100%,35,offwind,3.536
45%,Region Islanding 100%,24,offwind,0.952
45%,Region Islanding 100%,2,solar,4.48
45%,Region Islanding 100%,18,offwind,1.377
45%,Region Islanding 100%,14,offwind,5.474
45%,Region Islanding 100%,4,OCGT,2.912
45%,Region Islanding 100%,18,solar,0.616
45%,Region Islanding 100%,4,offwind,3.774
45%,Region Islanding 100%,20,OCGT,0.896
45%,Region Islanding 100%,25,solar,1.792
45%,Region Islanding 100%,11,solar,0.952
45%,Region Islanding 100%,32,solar,11.032
45%,Region Islanding 100%,28,CCGT,0.896
45%,Region Islanding 100%,22,solar,51.968
45%,Region Islanding 100%,29,offwind,4.998
45%,Region Islanding 100%,15,solar,18.676
45%,Region Islanding 100%,10,offwind,0.714
45%,Region Islanding 100%,37,solar,0.42
45%,Region Islanding 100%,8,offwind,17.306
45%,Region Islanding 100%,15,onwind,1.9
45%,Region Islanding 100%,31,offwind,9.248
45%,Region Islanding 100%,28,OCGT,0.448
45%,Region Islanding 100%,13,solar,1.064
45%,Region Islanding 100%,11,CCGT,0.448
45%,Region Islanding 100%,34,OCGT,2.016
45%,Region Islanding 100%,19,OCGT,0.224
45%,Region Islanding 100%,10,OCGT,0.448
45%,Region Islanding 100%,5,solar,1.316
45%,Region Islanding 100%,16,onwind,0.038
45%,Region Islanding 100%,23,OCGT,1.12
45%,Region Islanding 100%,16,offwind,12.376
45%,Region Islanding 100%,23,solar,2.128
45%,Region Islanding 100%,11,offwind,0.595
45%,Region Islanding 100%,12,solar,20.02
45%,Region Islanding 100%,10,solar,0.868
45%,Region Islanding 100%,28,solar,1.568
45%,Region Islanding 100%,22,offwind,10.421
45%,Region Islanding 100%,11,OCGT,0.448
45%,Region Islanding 100%,20,solar,5.208
